vehicle_id,vehicle_001
vin,
year,
make,
model,
color,
customer_or_insured,
notes,
final_route,RED - Likely Conventional Repair
average_confidence,78.30%
reason,"At least one panel flagged red, so the vehicle routes to conventional repair."

slot,filename,image_route,top_confidence,green_pdr,yellow_review,red_conventional,decision_reason
Roof,Roof_download.jpg,YELLOW - Manual Review Required,49.68%,8.76%,41.57%,49.68%,Confidence below yellow threshold (49.68%).
Left Roof Rail,Left_Roof_Rail_download.jpg,RED - Likely Conventional Repair,56.22%,32.57%,11.21%,56.22%,Red override triggered (56.22%).
Right Roof Rail,Right_Roof_Rail_images.jpg,GREEN - PDR Candidate,99.51%,99.51%,0.01%,0.48%,"Top class accepted (green_pdr, 99.51%)."
Hood,Hood_download.jpg,GREEN - PDR Candidate,87.04%,87.04%,12.95%,0.01%,"Top class accepted (green_pdr, 87.04%)."
Left Fender,Left_Fender_images.jpg,RED - Likely Conventional Repair,99.04%,0.50%,0.46%,99.04%,Red override triggered (99.04%).
